role,column,n_true,n_total,n_true_bad
direct_clean_candidate,analysis_natural_grassland_like_no_crop,165.0,199,
direct_clean_candidate,no_crop_flagged_points,197.0,199,
direct_clean_candidate,natural_grassland_like_no_crop_points,165.0,199,
direct_clean_candidate,lc34_Table_PRODUCT03es_resolv__analysis_natural_grassland_like_no_crop,165.0,199,
direct_clean_candidate,lc36_Table_PRODUCT03fg_final___no_crop_flagged_points,197.0,199,
direct_clean_candidate,lc36_Table_PRODUCT03fg_final___natural_grassland_like_no_crop_points,165.0,199,
natural_candidate,natural_grassland_like,165.0,199,
natural_candidate,any_natural_grassland_indicator,165.0,199,
natural_candidate,lc34_Table_PRODUCT03es_resolv__natural_grassland_like,165.0,199,
natural_candidate,lc35_Table_PRODUCT03ey_crop_f__natural_grassland_like,0.0,199,
natural_candidate,lc36_Table_PRODUCT03fg_final___natural_grassland_like,165.0,199,
natural_candidate,lc37_Table_PRODUCT03fn_final___natural_grassland_like,0.0,199,
natural_candidate,lc39_EXACT_POINTS_FLAGGED_CRO__any_natural_grassland_indicator,0.0,199,
bad_exclusion_candidate,any_cropland_managed_irrigation_flag,,199,34.0
bad_exclusion_candidate,lc39_EXACT_POINTS_FLAGGED_CRO__any_cropland_managed_irrigation_flag,,199,34.0
bad_exclusion_candidate,irrigation_or_agri_mask,,199,0.0
bad_exclusion_candidate,exclude_irrigated,,199,0.0
